"","Establishment.ID","Inspection.ID","Establishment.Name","Severity","Latitude","Longitude"
"3140",10283578,105268518,"HARBOUR FRONT FOODS","M",43.64935,-79.37146
"3141",10283861,105159570,"TIM HORTONS","NA",43.64549,-79.5224
"3142",10283927,105156098,"GABBY'S GRILL & TAPS","S",43.64824,-79.50642
"3143",10283978,105080112,"SUBWAY ACADEMY 2","NA",43.65562,-79.39533
"3144",10284210,104882552,"HOLY BLOSSOM TEMPLE PRESCHOOL/TORONTO HEBREW CONGREGATION)","NA",43.69829,-79.42526
"3145",10284603,105327116,"2-4-1 PIZZA","M",43.66893,-79.3379
"3146",10284989,105011877,"FRUIT BLOSSOM CREATIONS","NA",43.77897,-79.47504
"3147",10285005,105200099,"OUR LADY OF PEACE YMCA SCHOOL AGE PROGRAM","NA",43.64652,-79.54108
"3148",10285237,105157665,"CHODANG SOON TOFU","M",43.64419,-79.53334
"3149",10285460,104998430,"SWISS CHALET EXPRESS","C",43.67176,-79.29295
"3150",10285581,105199153,"CEDAR RIDGE CREATIVE CENTRE","M",43.75744,-79.20713
"3151",10285627,105201015,"FIRGROVE SATELLITE CHILD CARE","NA",43.75201,-79.51991
"3152",10285719,105181362,"TEKNION EMPLOYEE DINING LOUNGE","M",43.77918,-79.4827
"3153",10285778,105320369,"GHAZALE","S",43.65495,-79.41634
"3154",10286099,105066149,"HONG KONG BISTRO CAFE","S",43.65331,-79.39684
"3155",10286179,105134970,"SUBWAY SANDWICHES AND SALADS","S",43.65927,-79.38492
"3156",10286233,105051471,"LAMBTON GROCERY","M",43.68228,-79.49329
"3157",10286265,105042085,"TOPCLIFF STUDENT NUTRITION CENTRE","M",43.75569,-79.51066
"3158",10286617,105057021,"PIZZA PIZZA/ POUTINERIE - STAND#6","M",43.64407,-79.37843
"3159",10286748,105016055,"MCDONALD'S","S",43.63,-79.5183
"3160",10286893,105057011,"HOT STOVE CARVE PLATINUM NORTH","NA",43.64407,-79.37843
"3161",10286899,105298561,"THE SCHOOL HOUSE - SHELTER","M",43.66014,-79.37431
"3162",10286932,105343095,"STARBUCKS COFFEE #4205","M",43.67886,-79.34636
"3163",10287018,105054553,"CITY FRIED CHICKEN & PIZZA","C",43.6806,-79.33756
"3164",10287274,105149968,"THAI EXPRESS","S",43.64549,-79.5224
"3165",10287338,105090019,"BRAZEN HEAD","M",43.63831,-79.41722
"3166",10287349,105090017,"MERCI MON AMI","NA",43.63829,-79.41948
"3167",10287358,105062606,"KIM PO VIETNAMESE CUISINE","S",43.82327,-79.30532
"3168",10287399,105158745,"ABSOLUTE COMEDY","C",43.70864,-79.39832
"3169",10287417,105298613,"SUBWAY","M",43.7797,-79.13725
"3170",10287540,105270464,"RUBY TUESDAYS","S",43.68091,-79.31106
"3171",10287744,105049293,"DERRYDOWN PUBLIC SCHOOL","NA",43.7587,-79.49371
"3172",10287754,105088201,"SHARONS VARIETY","NA",43.6862,-79.27354
"3173",10287772,105013066,"TAVORA BBQ CHICKEN & GRILL","S",43.67463,-79.4566
"3174",10287941,105072505,"ECCOLO FOOD SERVICE INC.","NA",43.78355,-79.4753
"3175",10287943,105054077,"ITFC","M",43.77134,-79.47987
"3176",10288124,105091822,"STEVEN'S GROCERY","NA",43.67016,-79.41332
"3177",10288213,105447519,"PIZZA NOVA","S",43.66546,-79.49072
"3178",10288277,105120673,"KIDS ZONE","NA",43.64935,-79.45356
"3179",10288439,105399445,"HOUSE OF WONG","C",43.7737,-79.18317
"3180",10288763,105070748,"CHURRASCO OF ST CLAIR","C",43.68156,-79.42531
"3181",10288858,105092968,"TIM HORTONS","NA",43.71313,-79.5802
"3182",10288863,105008541,"FAST FRESH FOODS","NA",43.64954,-79.37778
"3183",10288870,105080200,"YONGE STREET MISSION/DAVIS CENTRE DAYCARE","NA",43.66209,-79.36828
"3184",10288951,105014281,"SUNSHINE MARKET","NA",43.67587,-79.45387
"3185",10288953,105361838,"THE DIZZY","M",43.64832,-79.4497
"3186",10289211,105042850,"MISTER PRODUCE","M",43.62784,-79.5243
"3187",10289589,105351131,"BASKIN ROBBINS","S",43.6247,-79.50992
"3188",10289627,105085896,"ALUMNAE THEATRE COMPANY","NA",43.65295,-79.36474
"3189",10289815,105037925,"BEEF NOODLE RESTAURANT","M",43.78554,-79.27566
"3190",10289849,105291048,"JUNG SOO NEA RESTAURANT","S",43.7833,-79.41696
"3191",10289898,105015854,"TERRONI","M",43.65083,-79.37584
"3192",10289907,105275334,"MARKLAND WOOD GOLF","S",43.62908,-79.58118
"3193",10289965,105065132,"KFC / TACO BELL","S",43.75875,-79.22914
"3194",10290257,105224340,"CAPERS CATERING ON LOCATION","S",43.73934,-79.31978
"3195",10290353,105037561,"ART GALLERY OF ONTARIO  MAIN KITCHEN","S",43.65384,-79.39371
"3196",10290524,105000489,"SUBWAY SANDWICHES & SALADS","M",43.72608,-79.45147
"3197",10290575,105015753,"SUBWAY SANDWICHES RESTAURANT","NA",43.77402,-79.52702
"3198",10290583,105344694,"MELO'S KITCHEN","S",43.74838,-79.47911
"3199",10290700,105127972,"BIG SMOKE BURGER","M",43.6444,-79.39964
"3200",10290862,105090242,"KENNEDY MILK","NA",43.7615,-79.27983
"3201",10290901,105054765,"MAC'S CIGAR STORE","NA",43.6499,-79.43591
"3202",10290975,105117429,"7-ELEVEN","NA",43.59731,-79.52297
"3203",10291012,105069787,"SHOUT KARAOKE","NA",43.77952,-79.41587
"3204",10291038,105192827,"DONVIEW MIDDLE HEALTH AND WELLNESS ACADEMY","NA",43.7642,-79.33144
"3205",10291052,105094944,"The Nilgiris","M",43.82921,-79.24876
"3206",10291064,105174845,"TINNEL'S TASTY JAMAICAN","NA",43.74264,-79.58969
"3207",10291095,105036196,"GERRARD CONVENIENCE","M",43.66188,-79.36924
"3208",10291175,105024341,"DOLLARAMA","NA",43.70092,-79.51135
"3209",10291253,105156842,"UNITED STAR SEAFOOD & SHEIK HALAL FARMS INC","NA",43.75289,-79.61984
"3210",10291254,105037163,"BRAEBURN NEIGHBOURHOOD PLACE BOYS & GIRLS CLUB","NA",43.72889,-79.54673
"3211",10291321,105036349,"APPLETON FOODS INTERNATIONAL INC.","NA",43.63637,-79.53067
"3212",10291445,105070238,"LE'S SANDWICH","NA",43.65238,-79.43333
"3213",10291530,105009969,"TINA COFFEE","NA",43.65121,-79.44547
"3214",10291656,105156837,"THE GREEN DRAGON","M",43.68098,-79.28478
"3215",10291705,105323960,"TIM HORTONS","S",43.79948,-79.1448
"3216",10291713,105404733,"KOZLIK'S CANADIAN MUSTARD","M",43.64905,-79.37177
"3217",10291793,104999051,"SUBWAY","NA",43.7228,-79.3035
"3218",10291975,105089996,"DYNASTY HOUSE SEAFOOD RESTAURANT","C",43.70463,-79.49224
"3219",10292559,105290325,"CIRCLE K","NA",43.65115,-79.47721
"3220",10292822,105342911,"LA CUBANA OSSINGTON","S",43.6462,-79.41968
"3221",10292878,105219568,"RICHMOND ADELAIDE CHILD CARE CENTRE","M",43.64969,-79.38381
"3222",10293290,105052225,"SUBWAY","NA",43.72749,-79.29391
"3223",10293292,105052223,"STARBUCKS COFFEE","NA",43.72749,-79.29391
"3224",10293342,105023121,"REGINO'S PIZZA","NA",43.6926,-79.28123
"3225",10293733,105096159,"TIM HORTONS","M",43.77259,-79.49268
"3226",10293952,105309861,"PIZZA PIZZA","C",43.66593,-79.38066
"3227",10294331,105016060,"SUBWAY SANDWICHES","NA",43.7947,-79.34781
"3228",10294380,105447210,"SHOELESS JOE'S","S",43.63882,-79.38561
"3229",10294410,105084629,"FRONTIER FRESH","NA",43.73402,-79.24528
"3230",10294420,105195093,"ST. BONIFACE YMCA CHILD CARE CENTRE","NA",43.74093,-79.21998
"3231",10294502,105138414,"EDDIE'S CAFE","NA",43.7121,-79.56952
"3232",10294532,105077509,"CAFFIEND'S","M",43.66696,-79.39212
"3233",10294580,105089875,"PIZZA PIZZA","S",43.64095,-79.43541
"3234",10294608,105311380,"2-4-1 PIZZA #37","S",43.66057,-79.43258
"3235",10294646,104994097,"NINKI","S",43.64869,-79.38023
"3236",10294690,105004486,"PHO MI VIET HOA RESTAURANT","C",43.75174,-79.51594
"3237",10294978,105044316,"T & K VARIETY STORE","M",43.69132,-79.50056
"3238",10295046,105166073,"BOOM BREAKFAST & CO","M",43.70804,-79.39313
"3239",10295355,105215716,"CAPITAL SWEET SAMOSA","C",43.70779,-79.34348
"3240",10295446,104993116,"TIM HORTONS","S",43.77065,-79.54266
"3241",10295668,105139987,"JACK ASTOR'S BAR AND GRILL","S",43.68932,-79.58451
"3242",10295683,105035607,"DAIRY QUEEN ORANGE JULIUS","S",43.65261,-79.39803
"3243",10295976,105436057,"CHINA ISLAND RESTAURANT","S",43.65606,-79.45378
"3244",10296062,105063480,"FRESHII","NA",43.6707,-79.39017
"3245",10296099,104998163,"SYME WOOLNER NEIGHBOURHOOD AND FAMILY CENTRE","NA",43.69205,-79.4681
"3246",10296275,105186292,"QUEEN STAR RESTAURANT","C",43.64331,-79.42326
"3247",10296285,105194348,"COSTCO","NA",43.62271,-79.50739
"3248",10296307,105062758,"JOHN G. ALTHOUSE BEFORE AND AFTER SCHOOL PROGRAM","NA",43.66812,-79.55416
"3249",10296424,105331411,"ALLIS BAKERY","M",43.67441,-79.46037
"3250",10296512,105171075,"TIBET CAFE & BAR","M",43.65392,-79.40039
"3251",10296959,105008799,"SULTAN","M",43.68848,-79.30177
"3252",10296977,105127094,"MR. SUB","S",43.76145,-79.21657
"3253",10297008,105292093,"SUKSI BIRYANI HOUSE","M",43.66935,-79.38607
"3254",10297263,105006602,"DOMINO'S PIZZA","NA",43.66538,-79.47059
"3255",10297402,105044158,"JUNJUN SOURDOUGH BAKERY","NA",43.62314,-79.50954
"3256",10297405,105044155,"SHASHA BREAD CO.","NA",43.62314,-79.50954
"3257",10297521,105389276,"JOE'S GROCERY","C",43.67015,-79.45588
"3258",10297563,105441534,"PIZZA PIZZA","S",43.68931,-79.29562
"3259",10297823,105003395,"7-ELEVEN","NA",43.64949,-79.4249
